District,Mandal,RBK,QTY(MTs),No Of Farmers,Amount(Rs),Season
ANANTHAPUR,BUKKAPATNAM,SIDDARAMPURAM,39,1,72150,Kharif_2020
ANANTHAPUR,TADIPARTRI,CHINNAPOLAMADA,176,15,897600,Rabi_2020
ANANTHAPUR,BRAMHASAMUDRAM,GUNDIGANIPALLI,84.5,3,430950,Rabi_2020
ANANTHAPUR,PEDDAPAPPUR,MUCHUKOTA,123.5,13,629850,Rabi_2020
ANANTHAPUR,SOMANDEPALLI,BRAHMASAMUDRAM,396.5,17,733525,Kharif_2020
ANANTHAPUR,PUTLUR,KUMMANAMALA,137.5,4,254375,Kharif_2020
ANANTHAPUR,PARIGI,KODIGENAHALLI2,54,2,99900,Kharif_2020
ANANTHAPUR,GUMMAGATTA,BHUPASAMUDRAM,255,3,471750,Kharif_2020
ANANTHAPUR,GUMMAGATTA,TALLAKERA1,326,7,603100,Kharif_2020
ANANTHAPUR,PUTTAPARTHY,VENKATAGARIPALLI,32.5,2,60125,Kharif_2020
ANANTHAPUR,TADIPARTRI,BHOGASAMUDRAM1,269.5,9,498575,Kharif_2020
ANANTHAPUR,KUDERU,MARUTLA,25.55,5,134776.25,Kharif_2020
ANANTHAPUR,KUDERU,KUDERU-1,15.05,4,76676.25,Kharif_2020
ANANTHAPUR,ANANTHAPURAM RURAL,KAMARUPALLI,2,1,12000,Kharif_2020
ANANTHAPUR,D.HIREHAL,KADALURU,54,3,275400,Rabi_2020
ANANTHAPUR,VIDAPANKAL,VIDAPANAKALLU2,142,2,262700,Kharif_2020
ANANTHAPUR,RAYADURG,AVULADATLA,117.5,3,217375,Kharif_2020
ANANTHAPUR,KADIRI,KONDAMANAYUNIPALYAM,10.5,4,22575,Kharif_2020
ANANTHAPUR,KADIRI,EGUVAPALLI,7.5,1,16125,Kharif_2020
ANANTHAPUR,NALLAMADA,MASAKAVANKAPALLI,61.5,2,113775,Kharif_2020
ANANTHAPUR,MADAKASIRA,AMIDALAGONDI2,19.5,1,36075,Kharif_2020
ANANTHAPUR,BOMMANAHAL,ELANJI,28,2,142800,Rabi_2020
ANANTHAPUR,PUTLUR,MADDIPALLI,240.5,21,1226550,Rabi_2020
ANANTHAPUR,LEPAKSHI,MANEPALLI,197,11,364450,Kharif_2020
ANANTHAPUR,TADIPARTRI,DIGUVAPALLI,186,15,948600,Rabi_2020
ANANTHAPUR,YELLANUR,KALLURU,33,2,168300,Rabi_2020
ANANTHAPUR,PENUKONDA,RAMPURAM,12,1,22200,Kharif_2020
ANANTHAPUR,KOTHACHERUVU,KOTHACHERUVU-1,235,7,434750,Kharif_2020
ANANTHAPUR,GOOTY,ABBEDODDI,4.2,1,22155,Kharif_2020
ANANTHAPUR,PEDDAVADUGUR,CHITRACHEDU,267,8,493950,Kharif_2020
ANANTHAPUR,ANANTHAPURAM RURAL,KANDUKURU1,26.25,3,118125,Kharif_2020
ANANTHAPUR,GUMMAGATTA,KALUGODU1,548,6,1013800,Kharif_2020
ANANTHAPUR,TADIPARTRI,VANGANURU,55,4,280500,Rabi_2020
ANANTHAPUR,NALLAMADA,YERRAVANKAPALLI,26.5,1,49025,Kharif_2020
ANANTHAPUR,BRAMHASAMUDRAM,WESTKODIPALLI,62,1,316200,Rabi_2020
ANANTHAPUR,PEDDAPAPPUR,NARASAPURAM,68.5,1,126725,Kharif_2020
ANANTHAPUR,RODDAM,KOGIRA,18.5,1,34225,Kharif_2020
ANANTHAPUR,BRAMHASAMUDRAM,PILLAPALLI,30,1,55500,Kharif_2020
ANANTHAPUR,YELLANUR,YELLANOOR-1,14.5,1,73950,Rabi_2020
ANANTHAPUR,ATMAKUR,SANAPA,47,1,86950,Kharif_2020
ANANTHAPUR,BRAMHASAMUDRAM,SANTHEKONDAPURAM,33.5,1,61975,Kharif_2020
ANANTHAPUR,PEDDAPAPPUR,SOMANAPALLI,5927,64,10964950,Kharif_2020
ANANTHAPUR,RODDAM,CHINNAMANTHURU,671,18,1241350,Kharif_2020
ANANTHAPUR,KANEKAL,GANIGERA,8720,137,16132000,Kharif_2020
ANANTHAPUR,PEDDAPAPPUR,PASALURU,8804.5,129,16288325,Kharif_2020
ANANTHAPUR,KANEKAL,YERRAGUNTA1,3304.5,27,6113325,Kharif_2020
ANANTHAPUR,RAYADURG,MALLAPURAM,876,13,1620600,Kharif_2020
ANANTHAPUR,D.HIREHAL,KADALURU,443.5,19,953525,Kharif_2020
ANANTHAPUR,HINDUPUR,KOTIPI,2901,102,5366850,Kharif_2020
ANANTHAPUR,CHILMATHUR,CHILAMATHUR3,1881.5,49,3480775,Kharif_2020
ANANTHAPUR,TADIPARTRI,DIGUVAPALLI,914.5,22,1691825,Kharif_2020
ANANTHAPUR,HINDUPUR,KIRIKERA2,311.5,13,576275,Kharif_2020
ANANTHAPUR,LEPAKSHI,PULAMATI,254.5,9,470825,Kharif_2020
ANANTHAPUR,BOMMANAHAL,KURUVALLI,213,7,394050,Kharif_2020
ANANTHAPUR,VIDAPANKAL,GADEKALLU2,1126,12,2083100,Kharif_2020
ANANTHAPUR,PUTLUR,SUREPALLI,2374.5,40,4392825,Kharif_2020
ANANTHAPUR,DHARMAVARAM,RAVULACHERUVU,46.5,9,209250,Kharif_2020
ANANTHAPUR,DHARMAVARAM,KUNUTHURU,92,10,552000,Kharif_2020
ANANTHAPUR,DHARMAVARAM,CHINGICHERLA,100.5,14,603000,Kharif_2020
ANANTHAPUR,PEDDAPAPPUR,PASALURU,429.5,31,2190450,Rabi_2020
ANANTHAPUR,BELUGUPPA,SEERPI,155,14,790500,Rabi_2020
ANANTHAPUR,BELUGUPPA,BELUGUPPA2,840.5,51,4286550,Rabi_2020
ANANTHAPUR,CHILMATHUR,DEMAKETHEPALLE1,812,27,1502200,Kharif_2020
ANANTHAPUR,KANEKAL,HULIKERA1,144,4,266400,Kharif_2020
ANANTHAPUR,GORANTLA,GORANTLA2,173.5,6,320975,Kharif_2020
ANANTHAPUR,RAYADURG,JUNJURAMPALLI,153,4,283050,Kharif_2020
ANANTHAPUR,TADIPARTRI,YARRAGUNTTAPALLI1,1341.5,16,2481775,Kharif_2020
ANANTHAPUR,PARIGI,KODIGENAHALLI1,83,3,153550,Kharif_2020
ANANTHAPUR,RODDAM,R.LOCHARLA,453.5,10,838975,Kharif_2020
ANANTHAPUR,KADIRI,PATNAM,29,1,53650,Kharif_2020
ANANTHAPUR,GUMMAGATTA,TALLAKERA2,106.5,4,197025,Kharif_2020
ANANTHAPUR,PUTLUR,SUREPALLI,121,11,617100,Rabi_2020
ANANTHAPUR,TANAKALLU,TANAKAL2,84,2,155400,Kharif_2020
ANANTHAPUR,ANANTHAPURAM RURAL,MANNILA,26.5,2,159000,Kharif_2020
ANANTHAPUR,VIDAPANKAL,POLIKI,44.5,4,226950,Rabi_2020
ANANTHAPUR,KOTHACHERUVU,K.NAGIREDDYPALLI,46,1,85100,Kharif_2020
ANANTHAPUR,PUTLUR,SENAGALAGUDURU,14,2,71400,Rabi_2020
ANANTHAPUR,KOTHACHERUVU,BYRAPURAM,129.5,6,239575,Kharif_2020
ANANTHAPUR,BOMMANAHAL,UDDEHAL,276.5,4,511525,Kharif_2020
ANANTHAPUR,YELLANUR,SINGAVARAM,107,2,197950,Kharif_2020
ANANTHAPUR,NARPALA,GUGUDU,14.5,1,26825,Kharif_2020
ANANTHAPUR,ROLLA,HULIKUNTA,47.5,3,87875,Kharif_2020
ANANTHAPUR,NARPALA,SIDDARACHERLA,276,5,510600,Kharif_2020
ANANTHAPUR,NALLAMADA,REDDIPALLI,82.5,1,177375,Kharif_2020
ANANTHAPUR,GORANTLA,VADIGEPALLI,64.5,1,119325,Kharif_2020
ANANTHAPUR,DHARMAVARAM,GOTLURU1,1.75,1,7875,Kharif_2020
ANANTHAPUR,CK PALLI,MEDAPURAM1,14.7,2,66150,Kharif_2020
ANANTHAPUR,CK PALLI,KANUMUKKALA-2,28.8,3,129600,Kharif_2020
ANANTHAPUR,YELLANUR,YELLANOOR-2,400,6,740000,Kharif_2020
ANANTHAPUR,KALYANDURG,HULIKAL,55,1,101750,Kharif_2020
ANANTHAPUR,NARPALA,NADIMIDODDI,133,3,246050,Kharif_2020
ANANTHAPUR,BRAMHASAMUDRAM,BHYRAVANITHIPPA,85,3,433500,Rabi_2020
ANANTHAPUR,URAVAKONDA,PEDDAKOWKUNTLA-1,246,3,455100,Kharif_2020
ANANTHAPUR,D.HIREHAL,D.HIREHAL1,62.5,1,115625,Kharif_2020
ANANTHAPUR,MUDIGUBBA,JONNALAKOTHAPALLI,50,1,92500,Kharif_2020
ANANTHAPUR,KADIRI URBAN,KUTAGULLA-01,4,1,8600,Kharif_2020
ANANTHAPUR,KANEKAL,BRAHMASAMUDRAM,231,3,427350,Kharif_2020
ANANTHAPUR,MUDIGUBBA,ADAVIBRAMHANAPALLITHANDA,2,1,3700,Kharif_2020
ANANTHAPUR,RAYADURG URBAN,TAHSILDARROAD,112,2,207200,Kharif_2020
ANANTHAPUR,GORANTLA,VANAVOLU2,426.5,12,789025,Kharif_2020
ANANTHAPUR,PUTLUR,THAKKALLAPALLI,680,11,1258000,Kharif_2020
ANANTHAPUR,YELLANUR,CHLAMAKURU,40,1,74000,Kharif_2020
ANANTHAPUR,KUDERU,GOTUKURU,4.9,2,25847.5,Kharif_2020
ANANTHAPUR,ANANTHAPURAM RURAL,KANDUKURU1,38.5,2,231000,Kharif_2020
ANANTHAPUR,GORANTLA,MANDALAPALLE1,8,1,14800,Kharif_2020
ANANTHAPUR,SETTUR,CHINTARLAPALLI,84,2,155400,Kharif_2020
ANANTHAPUR,RAPTHADU,GANDLAPARTHY,15,1,90000,Kharif_2020
ANANTHAPUR,VAJRAKARUR,CHABALA,13.5,1,44482.5,Kharif_2020
ANANTHAPUR,D.HIREHAL,NAGALAPURAM,133.5,5,287025,Kharif_2020
ANANTHAPUR,VIDAPANKAL,DONEKALLU,44.5,2,226950,Rabi_2020
ANANTHAPUR,DHARMAVARAM,THUMMALA,3,1,18000,Kharif_2020
ANANTHAPUR,SINGANAMALA,SODANAPALLE,32.5,1,60125,Kharif_2020
ANANTHAPUR,OBULA DEVARA CHERUVU,MAMILLAKUNTLAPALLI,20.5,1,37925,Kharif_2020
ANANTHAPUR,OBULA DEVARA CHERUVU,THANGEDUKUNTA,35.5,1,65675,Kharif_2020
ANANTHAPUR,BOMMANAHAL,NEMAKAL,28,1,51800,Kharif_2020
ANANTHAPUR,BELUGUPPA,DUDDEKUNTA,16.5,1,30525,Kharif_2020
ANANTHAPUR,GORANTLA,PULERU,1962.5,60,3630625,Kharif_2020
ANANTHAPUR,PENUKONDA,SETTYPALLI2,124.5,8,230325,Kharif_2020
ANANTHAPUR,YADIKI,VEMULAPADU,2656.5,51,4914525,Kharif_2020
ANANTHAPUR,RODDAM,RODDAM3,2826.5,79,5229025,Kharif_2020
ANANTHAPUR,GORANTLA,MANDALAPALLE2,194,7,358900,Kharif_2020
ANANTHAPUR,RODDAM,RODDAM1,265,9,490250,Kharif_2020
ANANTHAPUR,PARIGI,SASANAKOTA,2000.5,66,3700925,Kharif_2020
ANANTHAPUR,BELUGUPPA,BELUGUPPA1,230,6,425500,Kharif_2020
ANANTHAPUR,RAYADURG,B.N.HALLI,292.5,4,541125,Kharif_2020
ANANTHAPUR,BUKKARAYASAMUDRAM,VADIYAMPETA,1479,25,2736150,Kharif_2020
ANANTHAPUR,PUTLUR,MADDIPALLI,1338.5,23,2476225,Kharif_2020
ANANTHAPUR,YADIKI,CHANDANA,4432,82,8199200,Kharif_2020
ANANTHAPUR,PUTLUR,C.VENGANNAPALLII,197,4,364450,Kharif_2020
ANANTHAPUR,PARIGI,PARIGI1,509.5,16,942575,Kharif_2020
ANANTHAPUR,GUMMAGATTA,RANGASAMUDRAM,537.5,14,994375,Kharif_2020
ANANTHAPUR,LEPAKSHI,LEPAKSHI1,946.5,26,1751025,Kharif_2020
ANANTHAPUR,MADAKASIRA,GOVINDAPURAM,80.5,2,148925,Kharif_2020
ANANTHAPUR,TADIPARTRI,HUSSAINAPURAMU,379,5,701150,Kharif_2020
ANANTHAPUR,YADIKI,RAYALACHERUVU1,1869.5,30,3458575,Kharif_2020
ANANTHAPUR,RAYADURG,VEPARALLA,255.5,12,472675,Kharif_2020
ANANTHAPUR,TANAKALLU,TANAKAL1,557,23,1030450,Kharif_2020
ANANTHAPUR,HINDUPUR,CHOWLURU1,121,6,223850,Kharif_2020
ANANTHAPUR,SOMANDEPALLI,MAGECHERUVU,421.5,20,779775,Kharif_2020
ANANTHAPUR,GUMMAGATTA,GONABHAVI,127.5,4,235875,Kharif_2020
ANANTHAPUR,TANAKALLU,CHEEKATIMANIPALLI,741.5,27,1371775,Kharif_2020
ANANTHAPUR,PEDDAPAPPUR,KUMMETHA,414.5,32,2113950,Rabi_2020
ANANTHAPUR,RAPTHADU,MAROOR2,15,1,90000,Kharif_2020
ANANTHAPUR,TADIPARTRI,HUSSAINAPURAMU,111,8,566100,Rabi_2020
ANANTHAPUR,RODDAM,CHOLEMARRI,482,17,891700,Kharif_2020
ANANTHAPUR,BOMMANAHAL,BOLLANAGUDDAM,171,5,316350,Kharif_2020
ANANTHAPUR,ANANTHAPURAM RURAL,SOMALADODDI,113,2,209050,Kharif_2020
ANANTHAPUR,PARIGI,PYDETI,653.5,24,1208975,Kharif_2020
ANANTHAPUR,PARIGI,HONNAMPALLI,407.5,15,753875,Kharif_2020
ANANTHAPUR,BUKKAPATNAM,BUKKAPATNAM3,214,7,395900,Kharif_2020
ANANTHAPUR,GUNTHAKAL,NELAGONDA,473.9,66,2499822.5,Kharif_2020
ANANTHAPUR,GORANTLA,PALASAMUDRAM,26,2,85670,Kharif_2020
ANANTHAPUR,GORANTLA,VADIGEPALLI,38.5,6,126857.5,Kharif_2020
ANANTHAPUR,D.HIREHAL,SOMALAPURAM,165,11,841500,Rabi_2020
ANANTHAPUR,RODDAM,NARANAGEPALLE,1760,34,3256000,Kharif_2020
ANANTHAPUR,URAVAKONDA,RAYAMPALLI,814,8,1505900,Kharif_2020
ANANTHAPUR,YADIKI,NITTURU,1464,40,2708400,Kharif_2020
ANANTHAPUR,BRAMHASAMUDRAM,BRAHMASAMUDRAM,318,8,588300,Kharif_2020
ANANTHAPUR,HINDUPUR,BEEREPALLI,497.5,22,920375,Kharif_2020
ANANTHAPUR,D.HIREHAL,MURADI,317.5,4,587375,Kharif_2020
ANANTHAPUR,AGALI,NARASAMBUDI,196.5,9,363525,Kharif_2020
ANANTHAPUR,BOMMANAHAL,UNTHAKAL,536.5,8,992525,Kharif_2020
ANANTHAPUR,PUTLUR,KOMATIKUNTLA,500,4,925000,Kharif_2020
ANANTHAPUR,GUMMAGATTA,SIRIGEDODDI,103,4,190550,Kharif_2020
ANANTHAPUR,GUMMAGATTA,GALAGALA,275,3,508750,Kharif_2020
ANANTHAPUR,ATMAKUR,THOPUDURTHY,80,2,200000,Kharif_2020
ANANTHAPUR,BUKKARAYASAMUDRAM,CHEDULLA,173,4,320050,Kharif_2020
ANANTHAPUR,BRAMHASAMUDRAM,VEPALAPARTHY1,8,2,17200,Kharif_2020
ANANTHAPUR,KADIRI,MUTYALACHERUVU,21.5,2,46225,Kharif_2020
ANANTHAPUR,SINGANAMALA,AKULEDU1,48,1,88800,Kharif_2020
ANANTHAPUR,PARIGI,MODA-2,83,2,153550,Kharif_2020
ANANTHAPUR,BOMMANAHAL,D.HONNUR2,426,6,788100,Kharif_2020
ANANTHAPUR,AMADGUR,CHINAGANIPALLI,198,4,366300,Kharif_2020
ANANTHAPUR,PUTLUR,YELLUTLA,200,2,370000,Kharif_2020
ANANTHAPUR,URAVAKONDA,SHEKSHANIPALLI,262,4,484700,Kharif_2020
ANANTHAPUR,ANANTHAPURAM RURAL,SOMALADODDI,22.5,1,135000,Kharif_2020
ANANTHAPUR,GUMMAGATTA,BELODU,111,3,205350,Kharif_2020
ANANTHAPUR,CHILMATHUR,PALAGALAPALLI,21,1,38850,Kharif_2020
ANANTHAPUR,KUDERU,KAMMURU,18.3,3,88860,Kharif_2020
ANANTHAPUR,BRAMHASAMUDRAM,KANEPALLI,66.5,2,123025,Kharif_2020
ANANTHAPUR,TANAKALLU,GEMENAIKTHANDA,40,1,74000,Kharif_2020
ANANTHAPUR,ANANTHAPURAM RURAL,RACHANAPALLI,3,1,18000,Kharif_2020
ANANTHAPUR,ROLLA,HOTTEBETTA,34,1,62900,Kharif_2020
ANANTHAPUR,KANEKAL,MALYAM,67,1,123950,Kharif_2020
ANANTHAPUR,PEDDAPAPPUR,PEDDAPAPPUR2,4704.5,62,8703325,Kharif_2020
ANANTHAPUR,PENUKONDA,GUTTURU,353,12,653050,Kharif_2020
ANANTHAPUR,YADIKI,NAGARURU,8626,129,15958100,Kharif_2020
ANANTHAPUR,PUTLUR,DOSALEDU,2302,44,4258700,Kharif_2020
ANANTHAPUR,GORANTLA,MALASAMURAM,504,21,932400,Kharif_2020
ANANTHAPUR,YELLANUR,CHINTAKAYAMANDA2,3880.5,85,7178925,Kharif_2020
ANANTHAPUR,PARIGI,UTAKUR,2706.5,94,5007025,Kharif_2020
ANANTHAPUR,BELUGUPPA,NARASAPURAM,4292.5,58,7941125,Kharif_2020
ANANTHAPUR,D.HIREHAL,MADENEHALLI,82.5,3,177375,Kharif_2020
ANANTHAPUR,DHARMAVARAM,THUMMALA,163.45,31,850263.75,Kharif_2020
ANANTHAPUR,GORANTLA,GORANTLA4,535,19,989750,Kharif_2020
ANANTHAPUR,PEDDAPAPPUR,TABJULA,570.5,8,1055425,Kharif_2020
ANANTHAPUR,YELLANUR,85NITTURU,502,7,928700,Kharif_2020
ANANTHAPUR,PUTLUR,ARAKATIVEMULA,958,16,1772300,Kharif_2020
ANANTHAPUR,CHILMATHUR,KODUR1,1547,46,2861950,Kharif_2020
ANANTHAPUR,MADAKASIRA,YERABOMMANAHALLI,320,14,592000,Kharif_2020
ANANTHAPUR,VIDAPANKAL,POLIKI,1183,12,2188550,Kharif_2020
ANANTHAPUR,D.HIREHAL,SOMALAPURAM,510,18,1096500,Kharif_2020
ANANTHAPUR,CHILMATHUR,KODIKONDA,496.5,19,918525,Kharif_2020
ANANTHAPUR,TADIPARTRI,VANGANURU,390.5,6,722425,Kharif_2020
ANANTHAPUR,PUTLUR,KOMATIKUNTLA,84.5,7,430950,Rabi_2020
ANANTHAPUR,TADIPARTRI,URICINTHALA,313.5,19,1598850,Rabi_2020
ANANTHAPUR,PUTLUR,PUTLUR,869,79,4431900,Rabi_2020
ANANTHAPUR,YADIKI,KAMALAPADU,99,2,183150,Kharif_2020
ANANTHAPUR,VIDAPANKAL,VELPUMADUGU,85.5,4,436050,Rabi_2020
ANANTHAPUR,NALLAMADA,NALLAMADA2,142.5,4,263625,Kharif_2020
ANANTHAPUR,BUKKARAYASAMUDRAM,GOVINDAMPALLI,863,21,1596550,Kharif_2020
ANANTHAPUR,D.HIREHAL,GODISALAPALLI,450.5,12,968575,Kharif_2020
ANANTHAPUR,PUTTAPARTHY URBAN,KARNATAKANAGAPALLI-01,97.5,4,180375,Kharif_2020
ANANTHAPUR,PARIGI,SREERANGARAJULAPALLI,725,22,1341250,Kharif_2020
ANANTHAPUR,PENUKONDA,PENUKONDA2,199.5,9,369075,Kharif_2020
ANANTHAPUR,KUDERU,KUDERU-2,273,37,1371991.25,Kharif_2020
ANANTHAPUR,PUTLUR,C.VENGANNAPALLII,439,34,2238900,Rabi_2020
ANANTHAPUR,DHARMAVARAM,GOTLURU2,80.85,13,363825,Kharif_2020
ANANTHAPUR,TADIPARTRI,YARRAGUNTTAPALLI2,717.5,61,3659250,Rabi_2020
ANANTHAPUR,PEDDAPAPPUR,JUTURU,376,33,1917600,Rabi_2020
ANANTHAPUR,BOMMANAHAL,SREEDHARAGATTA,397,5,734450,Kharif_2020
ANANTHAPUR,KANEKAL,KANEKAL4,283,5,523550,Kharif_2020
